,joint1,joint2,joint3,joint4,joint5,joint6,X_axis,Y_axis,Z_axis
254,-83651,25826,-37954,17406,-12415,-6861,2497,-75381,419630
255,-25491,25826,-37954,17406,-13907,-6861,64008,-37767,421575
256,-24675,44513,-76856,10252,-4055,-6861,72232,-34445,578173
257,-22387,81751,-90601,9168,-23066,-6861,284076,-123169,543600
258,-22387,95680,-91027,9360,-32095,-6860,361086,-157241,471875
259,-21784,113696,-91233,9456,-46473,-4233,436061,-185953,355082
260,-21834,113696,-131100,9215,-15124,-4286,411254,-168875,537125
261,-21892,113778,-137878,8294,18847,-4236,416327,-162729,523496
262,-21841,113905,-137611,9755,65001,-4090,406104,-147719,452506
263,-21841,113905,-137611,9566,24887,-4090,419724,-161371,511788
264,-21897,113846,-137775,9240,-29905,-4090,373685,-158050,583582
265,-4646,113122,-137775,9257,-32149,-4090,394800,-39903,590377
266,21470,113516,-137775,6831,1188,-4090,406005,159927,551120
267,21590,113829,-137715,7183,-31619,-4090,377205,142860,584998
268,21590,113829,-137785,6899,-42390,-4090,362999,135728,592204
269,36597,122370,-137679,4682,6267,-1702,400606,298502,470619
270,46750,130427,-137693,4225,-11710,-1702,368257,389495,424637
271,50290,129753,-137759,1156,-33062,-1702,328375,393827,458815
272,71793,129753,-137702,1497,19837,-1702,167964,513263,382149
273,79185,125552,-137755,1198,-32338,-1702,92504,478829,494712
274,84575,124671,-137755,-666,-23185,-1702,45434,490728,491483
275,92939,124671,-137689,-457,51794,-1702,-25052,499050,381186
276,96238,124671,-137757,-657,61037,-1702,-52396,487719,370049
277,106328,124671,-137757,-865,-23138,-1702,-138941,472355,492016
278,107641,124782,-137702,-683,-664,-1702,-154837,486839,460005
279,114627,124782,-137702,0,57037,-1702,-206366,450170,373590
280,119418,124782,-137702,1252,-24095,-1702,-241065,429156,491903
281,115968,124782,-137752,-2812,-32976,-1702,-213186,432162,501819
282,80086,124782,-137752,-2641,-17179,-1702,84680,491704,483573
283,65188,142722,-137695,1220,5229,-1702,247201,535121,276878
284,64828,149863,-137585,1305,3059,-1702,257075,547270,205128
285,60513,150433,-137585,1116,3114,-1702,297907,527044,199018
286,56828,159551,-137585,-3779,11980,-1742,331513,504874,89353
287,56828,160790,-137585,-3649,13142,-1742,330582,503318,74723
288,34552,160790,-137585,-3206,12520,-1742,496993,340911,75560
289,29476,165995,-137585,-2849,-2844,-1742,528657,299071,42480
290,27244,164984,-137647,-3232,-2576,-1742,541056,278850,53154
291,22538,144885,-137647,-2164,-2136,-1742,550077,228426,265887
